Source DB	GenBank ID	END3	END5	Gene Symbol	Allele	Drug Family	Drug Class	Sub Drug Class	Parent Allele	Parent Allele Family	SNP	Protein ID	Unirprot	Gene Aliases	Organism ID	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	STRAIN	Plasmid	Bioproject	Biosample
>CARD	KJ151292	294	2892	rphA		Rifamycin						AIA08936.1	A0A059WGE7		1501383	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. WAC4747	WAC4747			
>CARD	AL009126	916777	919348	mprF_(B._subtilis)		Multi-drug_resistance	Defensin					CAX52582.1	C0H3X7	mprF yfiW yfiX BSU08425 BSU08420 BSU08430	224308	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	168		PRJNA76	SAMEA3138188
>CARD	AE009948	2111276	2113820	mprF_(S._agalactiae)		Multi-drug_resistance	Defensin					AAN00989.1	Q8DWT2	mprF SAG2131	208435	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	2603VR		PRJNA330	SAMN02604013
>CARD	KX531048.1	0	2259	BahA		Peptide_Antibiotic						APB03218.1	A0A1I9ZJK0	bahA AK95_02975	1120679	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. LC231	LC231			
>CARD	DQ212986	7787	9926	vanTG		Glycopeptide						ABA71733.1	Q6WRY3	vanTG	1351	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis 	G1-01247			
>CARD	AF235050.4	38028	40140	parY_(S._rishiriensis)		Aminocoumarin						AAO47226.2	Q83WB8	parYR	68264	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rishiriensis	DSM			
>CARD	FJ872411	41336	43445	vanTE		Glycopeptide						AAL27444.1	Q93A44	vanTE	1351	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis 	N00-0410			
>ARG-Annot	AY033764	1644	3746	vanTc3		Glycopeptide						AAK58491.1	Q8VPS1	vanTc3	37734	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus 	CCM			
>CARD	AF162694	3007	5104	vanTC		Glycopeptide						AAD22403.1	Q9X3P3	vanT	1353	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	BM4174			
>ARG-Annot	AY008342	3169	5235	blaHUG	A	Beta-lactam			HUG			AAG23395.1	Q93SS7	hugA	703	Proteobacteria	Gammaproteobacteria	Enterobacterales		Plesiomonas	Plesiomonas shigelloides 				
>CARD	AP009048	4304505	4306557	mdtO		Multi-drug_resistance	Efflux_pump	Major_Facilitator_Superfamily				BAE78083.1	P32715	mdtO yjcQ b4081 JW4042	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA16351	SAMD00061081
>CARD	KY013611.1	15437	17474	blamecD		Beta-lactam						AQX82857.1	A0A1S7BGS4	mecD mecD_1 CA207_02950	69966	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus	IMD0819			
>CARD	AB498758	3738	5762	blamecB		Beta-lactam						BAI83385.1	D4AH22	mecAm mecA	69966	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus	JCSC7528			
>CARD	KC243783	0	2007	blamecA		Beta-lactam						AGC51118.1	L7UL38	mecA	1280	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	TNCN112			
>CARD	DQ516970	0	1987	lmrD		Lincosamide	Efflux_pump	ATP-Binding_Casette				ABF66027.1	Q0GUG7	lmrD	1360	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus 	Lactococcus lactis	IPLA2A34			
>CARD	L20800	2308	4267	tetB(P)		Tetracycline						AAA20117.1	Q46306	tetP tetB(P)	1502	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	CW92			
>CARD	KX531049.1	0	1947	taeA		Pleuromutilin	Efflux_pump	ATP-Binding_Casette				APB03219.1	A0A1I9ZKK9	taeA AK95_19955	1120679	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. LC231	LC231			
>CARD	AY768532	0	1935	macB		Macrolide	Efflux_pump	ATP-Binding_Casette				AAV85982.1	Q5MK06	macB	485	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				
>CARD	FN594949	25244	27167	tet44		Tetracycline						CBH51823.1	D8L9Y9	tet(44)	32019	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	IMD			
>CARD	AM180355	600033	601953	tetM		Tetracycline						CAJ67339.1	Q188V1	tetM CD630_05080	272563	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile 	630		PRJNA78	SAMEA1705932
>CARD	EU434751	658	2578	tetW		Tetracycline						ACA23185.1	B1AA36	tetW	216816	Actinobacteria	Actinobacteria 	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	E111			
>CARD	AF170880	0	1848	novA		Aminocoumarin	Efflux_pump	ATP-Binding_Casette				AAF67494.2	Q9L9G7	novA	193462	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces niveus 	NCIMB			
>CARD	EU408352	35394	37224	blaLRA	13	Beta-lactam			LRA			ACH58991.1	B5L5V6	blaLRA-13 AKSOIL_0007	506515						uncultured bacterium BLR13			PRJNA28853	
>CARD	EF540343	1463	3230	blaR1		Beta-lactam						ABU39979.1	A8RR43	blaR1	79880	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii	NR			
>CARD	KX000272.1	0	1740	tetA(60)		Tetracycline	Efflux_pump	ATP-Binding_Casette				ANZ79240.1	A0A1B2JL14	tetA(60)	77133						uncultured bacterium				
>CARD	KX000273.1	0	1740	tetB(60)		Tetracycline	Efflux_pump	ATP-Binding_Casette				ANZ79241.1	A0A1B2JL09	tetB(60)	77133						uncultured bacterium				
>CARD	HQ652506.1	2099	3836	tetB(46)		Tetracycline	Efflux_pump	ATP-Binding_Casette				AET10445.1	K9KYI4	steB	113107	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	FRStet12			
>CARD	HQ652506.1	373	2098	tetA(46)		Tetracycline	Efflux_pump	ATP-Binding_Casette				AET10444.1	K9KYH6	steA	113107	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	FRStet12			
>CARD	DQ516954	0	1716	lmrC		Lincosamide	Efflux_pump	ATP-Binding_Casette				ABF66011.1	Q0GUI3	lmrC	1360	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus 	Lactococcus lactis	IPLA2A34			
>CARD	L36601	1420	3130	oleB		Macrolide	Efflux_pump	ATP-Binding_Casette				AAA50325.1	Q53712	oleB	1890	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces antibioticus				
>CARD	CP000312	1756064	1757774	mprF_(C._perfringens)		Multi-drug_resistance	Defensin					ABG86067.1	Q0SSM7	CPR_1564	289380	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	SM101		PRJNA12521	SAMN02604026
>CARD	AF079900	39	1731	otrB		Tetracycline	Efflux_pump	Major_Facilitator_Superfamily				AAD04032.1	O69070	otrB	1927	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	PG3			
>CARD	U46859	22365	24057	rosB		Multi-drug_resistance	Efflux_pump	Major_Facilitator_Superfamily				AAC60780.1	Q56876	rosB	34054	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	8081-c			
>CARD	JQ768046	7760	9440	facT		Elfamycin	Efflux_pump	Major_Facilitator_Superfamily				AFK80333.1	I3VKB9		1194538	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. WAC5292	WAC5292			
>CARD	AP009048	4338624	4340268	pmrC		Colistin						BAE78116.1	P30845	eptA pmrC yjdB b4114 JW5730	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA16351	SAMD00061081
>ARG-Annot	EF541029	530	2170	Rif		Rifamycin						ABR68540.1	Q9E8Q8		109981				Poxviridae		Diachasmimorpha longicaudata entomopoxvirus				
>CARD	KX236309.1	3136	4762	MCR	1.2	Colistin						ANR95875.1	A0A1B1ILG1		573	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	KP-6884	pMCR1.2-IT	PRJNA320950	SAMN04961293
>CARD	KY924928.1	161133	162759	MCR	3	Colistin						ASF81896.1	A0A218N6R2		562	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	WJ1	pWJ1		
>CARD	KP347127	22412	24038	MCR	1	Colistin						AKF16168.1	A0A0R6L508	mcr1 mcr-1 APZ14_31440	562	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	SHP45	pHNSHP45		
>CARD	KC693025	0	1626	salA		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				AGN74946.1	T1RRK4	sal(A)	147467	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri	DM128			
>CARD	M80674	877	2494	tcmA		Multi-drug_resistance	Efflux_pump	Major_Facilitator_Superfamily				AAA67509.1	P39886	tcmA	1907	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces glaucescens				
>CARD	GQ205627	1393	2971	vgaD		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				ACX92986.2	D0U1S7	vgaD	1352	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium 	JS79			
>CARD	FR772051	8740	10315	vgaE		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				CBY88983.1	G0LNY2	vga(E)	523796	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	IMD49-10			
>CARD	KC539823	1017	2586	vgaA		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				AGN33258.1	S4UZ36	vgaA	1282	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	S7	pIP1890		
>CARD	DQ823382	0	1569	vgaALC		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				ABH10964.1	A0SNL9	vga(A)LC	1283	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	CCM7296			
>CARD	GQ244501	59	1619	tet43		Tetracycline	Efflux_pump	Major_Facilitator_Superfamily				ACS83748.1	D6MM08	tet43 WISOIL_0056	654983						uncultured bacterium AOTet43			PRJNA36531	
>CARD	AF535087	28	1573	qacB		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				AAQ10694.1	Q7WUJ3	qacB	1280	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	SH456			
>CARD	AB566411	0	1545	qacA		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				BAJ09383.1	D6RVW4	qacA	1280	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	TPS89	pTZ2089		
>CARD	U38944.1	0	1536	opcM		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAC43969.1	Q45083	opcM	292	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia 	PC138			
>CARD	U00096	2812615	2814154	emrB		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				AAC75733.1	P0AEJ0	emrB b2686 JW2661	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	D78168	1591	3130	emrY		Tetracycline	Efflux_pump	Major_Facilitator_Superfamily				BAA11237.1	P52600	emrY b2367 JW2364	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli				
>CARD	JQ064560	0	1536	QepA		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				AEZ36150.1	H6WBK3	qepA3	548	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes 	EA3201	pEA3201		
>CARD	Z50108	238	1768	fusH		Fusidic_Acid						CAA90432.1	Q54345	fusH	1916	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lividans				
>CARD	U40487.1	170	1685	lrfA		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				AAC43550.1	Q50392	lfrA	1772	Actinobacteria	Actinobacteria 	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium smegmatis	mc2			
>CARD	AY587982	309	1806	lsaA		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				AAT46077.1	Q5MQL4	lsa BZG32_13160	1351	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis 				
>CARD	FJ768952	0	1488	tolC		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette/Resistance-Nodulation_Cell_Division/Major_Facilitator_Superfamily				ACN32294.1	C0LTR9	tolC BN17_29711 ECs3923	562	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	0919S911			
>CARD	JX560992	11387	12872	lsaE		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				AFU35065.1	I6R5C6	lsa(E)	1280	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	SA7037	pV7037		
>CARD	AF313494	0	1479	msrC		Macrolide/Streptogramin	Efflux_pump	ATP-Binding_Casette				AAK01167.1	Q9APB1		1352	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium 	TX1330			
>CARD	AB894099	4218	5697	cmeC		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAO79432.1	A0A024FSA8	cmeC	32022	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	ATCC			
>CARD	HM990671	5192	6671	lsaC		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				AEA37904.1	F2WJM2		1311	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	UCN70			
>CARD	AB219524.1	4334	5810	opmE		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAE06009.1	G3XCL7	opmE	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa				
>CARD	AP009048	4303042	4304509	mdtP		Multi-drug_resistance	Efflux_pump	Major_Facilitator_Superfamily				BAE78082.1	P32714	mdtP yjcP b4080 JW4041	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA16351	SAMD00061081
>CARD	HG970100.1	0	1457	efrA		Multi-drug_resistance	Efflux_pump	ATP-Binding_Casette				CDO61513.1	A0A060RLT5	efrA	1352	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium 				
>CARD	AY769962	5610	7065	adeK		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAX14803.1	Q24LT6	adeK oprM oprM_2 A7M79_01765 A7M90_18255 A7N09_11630 AB895_0719 ABUW_0842 APD06_14010 AZE33_16180 B4R90_15340 B9X91_16395 B9X95_17015 BGC29_00975 BWP00_15045 CAS83_01895 CBE85_16495 CBI29_03050 CEJ63_04315 CHH37_12530 CHQ89_10980 CKN52_11375 CPI82_01330 IX87_10265 LV38_03648	470	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	BM4454			
>ARG-Annot	X59926	318	1763	lmrA		Lincosamide	Efflux_pump	ATP-Binding_Casette				CAA42550.1	P46104	lmrA	1915	Actinobacteria	Actinobacteria 	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lincolnensis	78-11			
>CARD	U57969	4622	6062	OprJ		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAB41958.1	Q51397	oprJ PA4597	208964	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAO			
>CARD	U56415	279	1719	iri		Rifamycin						AAB41059.1	P95598	iri	43767	Actinobacteria	Actinobacteria 	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii 	ATCC			
>CARD	JYFL01000006.1	112069	113503	lmrB		Lincosamide	Efflux_pump	ATP-Binding_Casette				KIX81495.1										2014-3557		PRJNA274664	SAMN03329209
>CARD	JQ340365	0	1434	basS		Polymixin						AEX49906.1	H2FHA4	pmrB CAZ10_02640 CRX60_17065 HQ52_26115 PAMH19_2486	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	1026			
>CARD	AJ549214	176	1604	fexA		Multi-drug_resistance	Efflux_pump	Major_Facilitator_Superfamily				CAD70268.1	Q70T11	fexA	42858	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lentus		pSCFS2		
>CARD	CP014358.1	2161325	2162750	mdtK		Fluoroquinolone	Efflux_pump	Multidrug_and_Toxic_Compound				AML99881.1										YU15		PRJNA288151	SAMN03795199
>CARD	AF173226	6913	8329	smeC		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAD51346.1	Q9RBY7	smeC	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia 	ULA-511			
>CARD	AF173226	1037	2441	smeS		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAD51347.1	Q9RBZ0	smeS	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia 	ULA-511			
>CARD	AP009048	2165012	2166416	baeS		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAA15934.1	P30847	baeS b2078 JW2063	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA16351	SAMD00061081
>CARD	X95635	259	1663	mtrE		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				CAA64891.1	Q51006	mtrE	485	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	FA136			
>CARD	AB639410	0	1404	OprA		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAM10414.1	I0IYR5	oprA	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAGU			
>CARD	HE999704	2734780	2736181	norB		Fluoroquinolone	Efflux_pump	Major_Facilitator_Superfamily				CCQ22388.1										La111		PRJEB538	SAMEA2272573
>CARD	AJ252200	4493	5894	smeF		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				CAC14596.1	Q9F239	smeF	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia 				
>CARD	CP013924.1	2063742	2065140	adeC		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				ALX99516.1										KBN10P02143		PRJNA291316	SAMN03941550
>CARD	AFRQ01000061.1	22598	23990	OprZ		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				EGP45230.2	F7T361	AXXA_16881	1003200	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insuavis	AXX-A		PRJNA65117	SAMN02471472
>CARD	AF453998	3554	4946	ANT(3'')-Ii-AAC(6')	IId_fusion_protein	Aminoglycoside						AAL51021.2	Q8VQN7	ant(3'')-Ih-aac(6')-IId	615	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	SCH88050909			
>CARD	AY661734.1	839	2195	mepA		Multi-drug_resistance	Efflux_pump	Multidrug_and_Toxic_Compound				AAU95768.1	Q2G140	mepA svrA SAOUHSC_00315	93061	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus				
